,home_team_name,away_team_name,home_wins,year,stadium_name,city,attendance,capacity,league
2680,CIN,BAL,1,2017,Great American Ball Park,"Cincinnati, Ohio","16,018",,MLB
2681,NYM,PHI,0,2017,Citi Field,"Queens, New York","23,536",,MLB
2682,TB,DET,1,2017,Tropicana Field,"St. Petersburg, Florida","16,265",,MLB
2683,ATL,WSH,0,2017,Truist Park,"Atlanta, Georgia","21,834",,MLB
2684,CHC,MIL,1,2017,Wrigley Field,"Chicago, Illinois","39,026",,MLB
2685,MIN,CLE,0,2017,Target Field,"Minneapolis, Minnesota","16,553",,MLB
2686,HOU,LAA,0,2017,Minute Maid Park,"Houston, Texas","21,760",,MLB
2687,KC,SF,0,2017,Kauffman Stadium,"Kansas City, Missouri","20,863",,MLB
2688,STL,PIT,1,2017,Busch Stadium,"St. Louis, Missouri","38,806",,MLB
2689,OAK,TEX,1,2017,Oakland Coliseum,"Oakland, California","12,091",,MLB
2690,SEA,MIA,0,2017,T-Mobile Park,"Seattle, Washington","16,126",,MLB
2691,LAD,COL,0,2017,Dodger Stadium,"Los Angeles, California","37,960",,MLB
2692,SD,ARI,0,2017,Petco Park,"San Diego, California","19,869",,MLB
2693,STL,PIT,1,2017,Busch Stadium,"St. Louis, Missouri","40,182",,MLB
2694,CHC,MIL,1,2017,Wrigley Field,"Chicago, Illinois","34,864",,MLB
2695,OAK,TEX,1,2017,Oakland Coliseum,"Oakland, California","14,031",,MLB
2696,SEA,MIA,1,2017,T-Mobile Park,"Seattle, Washington","27,147",,MLB
2697,NYY,CHW,1,2017,Yankee Stadium,"Bronx, New York","30,014",,MLB
2698,TOR,BOS,1,2017,Rogers Centre,"Toronto, Ontario","30,842",,MLB
2699,CIN,BAL,0,2017,Great American Ball Park,"Cincinnati, Ohio","15,083",,MLB
2700,NYM,PHI,1,2017,Citi Field,"Queens, New York","22,243",,MLB
2701,TB,DET,1,2017,Tropicana Field,"St. Petersburg, Florida","12,281",,MLB
2702,ATL,WSH,0,2017,Truist Park,"Atlanta, Georgia","22,101",,MLB
2703,HOU,LAA,1,2017,Minute Maid Park,"Houston, Texas","24,028",,MLB
2704,KC,SF,1,2017,Kauffman Stadium,"Kansas City, Missouri","24,402",,MLB
2705,LAD,COL,1,2017,Dodger Stadium,"Los Angeles, California","45,474",,MLB
2706,SD,ARI,1,2017,Petco Park,"San Diego, California","17,089",,MLB
2707,TOR,BOS,0,2017,Rogers Centre,"Toronto, Ontario","44,283",,MLB
2708,MIN,CLE,0,2017,Target Field,"Minneapolis, Minnesota","17,339",,MLB
2709,TB,DET,1,2017,Tropicana Field,"St. Petersburg, Florida","13,267",,MLB
2710,HOU,LAA,1,2017,Minute Maid Park,"Houston, Texas","23,173",,MLB
2711,CIN,BAL,0,2017,Great American Ball Park,"Cincinnati, Ohio","11,910",,MLB
2712,NYM,PHI,0,2017,Citi Field,"Queens, New York","24,656",,MLB
2713,ATL,WSH,0,2017,Truist Park,"Atlanta, Georgia","27,498",,MLB
2714,TEX,KC,1,2017,Globe Life Park in Arlington,"Arlington, Texas","26,898",,MLB
2715,MIL,STL,1,2017,Miller Park,"Milwaukee, Wisconsin","26,451",,MLB
2716,SD,ARI,1,2017,Petco Park,"San Diego, California","17,831",,MLB
2717,OAK,SEA,1,2017,Oakland Coliseum,"Oakland, California","10,707",,MLB
2718,BAL,BOS,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","34,442",,MLB
2719,PHI,ATL,1,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","24,189",,MLB
2720,PIT,NYY,1,2017,PNC Park,"Pittsburgh, Pennsylvania","30,565",,MLB
2721,CIN,CHC,0,2017,Great American Ball Park,"Cincinnati, Ohio","29,350",,MLB
2722,NYM,WSH,0,2017,Citi Field,"Queens, New York","34,773",,MLB
2723,TB,HOU,0,2017,Tropicana Field,"St. Petersburg, Florida","17,683",,MLB
2724,TEX,KC,1,2017,Globe Life Park in Arlington,"Arlington, Texas","31,320",,MLB
2725,CHW,CLE,0,2017,Guaranteed Rate Field,"Chicago, Illinois","18,159",,MLB
2726,MIL,STL,0,2017,Miller Park,"Milwaukee, Wisconsin","23,126",,MLB
2727,MIN,DET,1,2017,Target Field,"Minneapolis, Minnesota","22,647",,MLB
2728,COL,SF,1,2017,Coors Field,"Denver, Colorado","27,663",,MLB
2729,ARI,LAD,1,2017,Chase Field,"Phoenix, Arizona","27,018",,MLB
2730,OAK,SEA,1,2017,Oakland Coliseum,"Oakland, California","15,255",,MLB
2731,LAA,TOR,0,2017,Angel Stadium,"Anaheim, California","40,176",,MLB
2732,SD,MIA,1,2017,Petco Park,"San Diego, California","30,413",,MLB
2733,CIN,CHC,0,2017,Great American Ball Park,"Cincinnati, Ohio","27,189",,MLB
2734,MIN,DET,0,2017,Target Field,"Minneapolis, Minnesota","25,719",,MLB
2735,OAK,SEA,1,2017,Oakland Coliseum,"Oakland, California","20,722",,MLB
2736,NYM,WSH,0,2017,Citi Field,"Queens, New York","42,145",,MLB
2737,PIT,NYY,0,2017,PNC Park,"Pittsburgh, Pennsylvania","36,140",,MLB
2738,TB,HOU,1,2017,Tropicana Field,"St. Petersburg, Florida","17,008",,MLB
2739,BAL,BOS,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","35,457",,MLB
2740,PHI,ATL,1,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","31,334",,MLB
2741,CHW,CLE,0,2017,Guaranteed Rate Field,"Chicago, Illinois","32,044",,MLB
2742,MIL,STL,0,2017,Miller Park,"Milwaukee, Wisconsin","30,865",,MLB
2743,TEX,KC,1,2017,Globe Life Park in Arlington,"Arlington, Texas","41,446",,MLB
2744,COL,SF,1,2017,Coors Field,"Denver, Colorado","39,239",,MLB
2745,ARI,LAD,1,2017,Chase Field,"Phoenix, Arizona","36,294",,MLB
2746,SD,MIA,0,2017,Petco Park,"San Diego, California","39,319",,MLB
2747,LAA,TOR,1,2017,Angel Stadium,"Anaheim, California","41,345",,MLB
2748,CIN,CHC,1,2017,Great American Ball Park,"Cincinnati, Ohio","32,670",,MLB
2749,TB,HOU,0,2017,Tropicana Field,"St. Petersburg, Florida","15,548",,MLB
2750,BAL,BOS,0,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","35,522",,MLB
2751,PHI,ATL,1,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","28,632",,MLB
2752,PIT,NYY,1,2017,PNC Park,"Pittsburgh, Pennsylvania","27,840",,MLB
2753,CHW,CLE,1,2017,Guaranteed Rate Field,"Chicago, Illinois","24,444",,MLB
2754,MIL,STL,0,2017,Miller Park,"Milwaukee, Wisconsin","31,158",,MLB
2755,MIN,DET,0,2017,Target Field,"Minneapolis, Minnesota","26,713",,MLB
2756,TEX,KC,1,2017,Globe Life Park in Arlington,"Arlington, Texas","37,177",,MLB
2757,COL,SF,1,2017,Coors Field,"Denver, Colorado","42,011",,MLB
2758,LAA,TOR,0,2017,Angel Stadium,"Anaheim, California","35,034",,MLB
2759,OAK,SEA,0,2017,Oakland Coliseum,"Oakland, California","24,165",,MLB
2760,ARI,LAD,0,2017,Chase Field,"Phoenix, Arizona","28,704",,MLB
2761,SD,MIA,0,2017,Petco Park,"San Diego, California","26,070",,MLB
2762,NYM,WSH,0,2017,Citi Field,"Queens, New York","27,044",,MLB
2763,PIT,CHC,0,2017,PNC Park,"Pittsburgh, Pennsylvania","13,445",,MLB
2764,BAL,TB,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","11,142",,MLB
2765,MIL,CIN,1,2017,Miller Park,"Milwaukee, Wisconsin","23,943",,MLB
2766,TEX,MIN,0,2017,Globe Life Park in Arlington,"Arlington, Texas","19,027",,MLB
2767,CHW,KC,1,2017,Guaranteed Rate Field,"Chicago, Illinois","11,484",,MLB
2768,COL,WSH,1,2017,Coors Field,"Denver, Colorado","23,019",,MLB
2769,ARI,SD,1,2017,Chase Field,"Phoenix, Arizona","14,758",,MLB
2770,LAA,TOR,1,2017,Angel Stadium,"Anaheim, California","25,304",,MLB
2771,SF,LAD,1,2017,Oracle Park,"San Francisco, California","41,399",,MLB
2772,CLE,HOU,0,2017,Progressive Field,"Cleveland, Ohio","14,581",,MLB
2773,BAL,TB,0,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","11,472",,MLB
2774,PIT,CHC,0,2017,PNC Park,"Pittsburgh, Pennsylvania","15,326",,MLB
2775,DET,SEA,1,2017,Comerica Park,"Detroit, Michigan","22,728",,MLB
2776,MIL,CIN,1,2017,Miller Park,"Milwaukee, Wisconsin","28,449",,MLB
2777,TEX,MIN,0,2017,Globe Life Park in Arlington,"Arlington, Texas","20,568",,MLB
2778,CHW,KC,1,2017,Guaranteed Rate Field,"Chicago, Illinois","14,591",,MLB
2779,STL,TOR,0,2017,Busch Stadium,"St. Louis, Missouri","40,223",,MLB
2780,COL,WSH,0,2017,Coors Field,"Denver, Colorado","21,340",,MLB
2781,ARI,SD,1,2017,Chase Field,"Phoenix, Arizona","17,531",,MLB
2782,LAA,OAK,1,2017,Angel Stadium,"Anaheim, California","30,124",,MLB
2783,SF,LAD,0,2017,Oracle Park,"San Francisco, California","41,329",,MLB
2784,MIL,CIN,1,2017,Miller Park,"Milwaukee, Wisconsin","19,062",,MLB
2785,CHW,KC,1,2017,Guaranteed Rate Field,"Chicago, Illinois","18,218",,MLB
2786,CLE,HOU,1,2017,Progressive Field,"Cleveland, Ohio","16,052",,MLB
2787,BOS,NYY,0,2017,Fenway Park,"Boston, Massachusetts","32,072",,MLB
2788,BAL,TB,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","16,289",,MLB
2789,PHI,MIA,1,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","26,191",,MLB
2790,PIT,CHC,1,2017,PNC Park,"Pittsburgh, Pennsylvania","16,904",,MLB
2791,DET,SEA,0,2017,Comerica Park,"Detroit, Michigan","23,327",,MLB
2792,NYM,ATL,0,2017,Citi Field,"Queens, New York","22,819",,MLB
2793,TEX,MIN,1,2017,Globe Life Park in Arlington,"Arlington, Texas","22,365",,MLB
2794,COL,WSH,0,2017,Coors Field,"Denver, Colorado","22,461",,MLB
2795,ARI,SD,0,2017,Chase Field,"Phoenix, Arizona","12,215",,MLB
2796,LAA,OAK,1,2017,Angel Stadium,"Anaheim, California","30,248",,MLB
2797,SF,LAD,1,2017,Oracle Park,"San Francisco, California","41,573",,MLB
2798,PHI,MIA,1,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","22,180",,MLB
2799,DET,SEA,0,2017,Comerica Park,"Detroit, Michigan","25,325",,MLB
2800,NYM,ATL,0,2017,Citi Field,"Queens, New York","23,243",,MLB
2801,STL,TOR,1,2017,Busch Stadium,"St. Louis, Missouri","40,099",,MLB
2802,COL,WSH,0,2017,Coors Field,"Denver, Colorado","34,929",,MLB
2803,SF,LAD,0,2017,Oracle Park,"San Francisco, California","41,580",,MLB
2804,SF,LAD,0,2017,Oracle Park,"San Francisco, California","41,580",,MLB
2805,CLE,HOU,1,2017,Progressive Field,"Cleveland, Ohio","14,452",,MLB
2806,BOS,NYY,0,2017,Fenway Park,"Boston, Massachusetts","34,054",,MLB
2807,STL,TOR,1,2017,Busch Stadium,"St. Louis, Missouri","40,035",,MLB
2808,ARI,SD,1,2017,Chase Field,"Phoenix, Arizona","15,452",,MLB
2809,LAA,OAK,1,2017,Angel Stadium,"Anaheim, California","37,603",,MLB
2810,NYY,BAL,1,2017,Yankee Stadium,"Bronx, New York","36,912",,MLB
2811,WSH,NYM,0,2017,Nationals Park,"Washington, D.C.","34,562",,MLB
2812,TOR,TB,0,2017,Rogers Centre,"Toronto, Ontario","36,256",,MLB
2813,BOS,CHC,1,2017,Fenway Park,"Boston, Massachusetts","37,054",,MLB
2814,CLE,SEA,0,2017,Progressive Field,"Cleveland, Ohio","20,842",,MLB
2815,DET,CHW,0,2017,Comerica Park,"Detroit, Michigan","26,049",,MLB
2816,MIA,PIT,0,2017,Marlins Park,"Miami, Florida","19,690",,MLB
2817,TEX,LAA,0,2017,Globe Life Park in Arlington,"Arlington, Texas","28,968",,MLB
2818,MIL,ATL,0,2017,Miller Park,"Milwaukee, Wisconsin","26,453",,MLB
2819,HOU,OAK,1,2017,Minute Maid Park,"Houston, Texas","28,472",,MLB
2820,KC,MIN,0,2017,Kauffman Stadium,"Kansas City, Missouri","27,911",,MLB
2821,STL,CIN,1,2017,Busch Stadium,"St. Louis, Missouri","42,722",,MLB
2822,ARI,COL,0,2017,Chase Field,"Phoenix, Arizona","19,300",,MLB
2823,LAD,PHI,1,2017,Dodger Stadium,"Los Angeles, California","46,729",,MLB
2824,SF,SD,1,2017,Oracle Park,"San Francisco, California","41,436",,MLB
2825,NYY,BAL,1,2017,Yankee Stadium,"Bronx, New York","37,303",,MLB
2826,WSH,NYM,0,2017,Nationals Park,"Washington, D.C.","36,501",,MLB
2827,TOR,TB,1,2017,Rogers Centre,"Toronto, Ontario","42,419",,MLB
2828,DET,CHW,0,2017,Comerica Park,"Detroit, Michigan","36,217",,MLB
2829,BOS,CHC,0,2017,Fenway Park,"Boston, Massachusetts","36,776",,MLB
2830,CLE,SEA,1,2017,Progressive Field,"Cleveland, Ohio","21,221",,MLB
2831,MIL,ATL,0,2017,Miller Park,"Milwaukee, Wisconsin","30,026",,MLB
2832,HOU,OAK,0,2017,Minute Maid Park,"Houston, Texas","32,147",,MLB
2833,MIA,PIT,0,2017,Marlins Park,"Miami, Florida","33,152",,MLB
2834,TEX,LAA,1,2017,Globe Life Park in Arlington,"Arlington, Texas","44,597",,MLB
2835,ARI,COL,0,2017,Chase Field,"Phoenix, Arizona","30,445",,MLB
2836,SF,SD,0,2017,Oracle Park,"San Francisco, California","42,862",,MLB
2837,LAD,PHI,1,2017,Dodger Stadium,"Los Angeles, California","53,110",,MLB
2838,NYY,BAL,0,2017,Yankee Stadium,"Bronx, New York","41,022",,MLB
2839,TOR,TB,1,2017,Rogers Centre,"Toronto, Ontario","42,986",,MLB
2840,CLE,SEA,1,2017,Progressive Field,"Cleveland, Ohio","21,824",,MLB
2841,DET,CHW,1,2017,Comerica Park,"Detroit, Michigan","26,045",,MLB
2842,MIA,PIT,1,2017,Marlins Park,"Miami, Florida","26,245",,MLB
2843,WSH,NYM,1,2017,Nationals Park,"Washington, D.C.","36,806",,MLB
2844,MIL,ATL,1,2017,Miller Park,"Milwaukee, Wisconsin","24,395",,MLB
2845,HOU,OAK,1,2017,Minute Maid Park,"Houston, Texas","34,880",,MLB
2846,KC,MIN,0,2017,Kauffman Stadium,"Kansas City, Missouri","32,685",,MLB
2847,STL,CIN,0,2017,Busch Stadium,"St. Louis, Missouri","45,282",,MLB
2848,TEX,LAA,0,2017,Globe Life Park in Arlington,"Arlington, Texas","39,804",,MLB
2849,SF,SD,0,2017,Oracle Park,"San Francisco, California","41,989",,MLB
2850,LAD,PHI,1,2017,Dodger Stadium,"Los Angeles, California","48,961",,MLB
2851,ARI,COL,1,2017,Chase Field,"Phoenix, Arizona","23,613",,MLB
2852,BOS,CHC,1,2017,Fenway Park,"Boston, Massachusetts","36,916",,MLB
2853,BOS,BAL,0,2017,Fenway Park,"Boston, Massachusetts","33,489",,MLB
2854,NYY,TOR,0,2017,Yankee Stadium,"Bronx, New York","25,566",,MLB
2855,NYY,TOR,0,2017,Yankee Stadium,"Bronx, New York","25,566",,MLB
2856,DET,CLE,1,2017,Comerica Park,"Detroit, Michigan","22,045",,MLB
2857,CIN,PIT,1,2017,Great American Ball Park,"Cincinnati, Ohio","14,753",,MLB
2858,MIA,TB,0,2017,Marlins Park,"Miami, Florida","16,096",,MLB
2859,ATL,NYM,0,2017,Truist Park,"Atlanta, Georgia","21,668",,MLB
2860,CHC,PHI,0,2017,Wrigley Field,"Chicago, Illinois","38,567",,MLB
2861,HOU,TEX,1,2017,Minute Maid Park,"Houston, Texas","22,556",,MLB
2862,KC,CHW,1,2017,Kauffman Stadium,"Kansas City, Missouri","20,148",,MLB
2863,STL,MIL,0,2017,Busch Stadium,"St. Louis, Missouri","36,339",,MLB
2864,LAD,SF,0,2017,Dodger Stadium,"Los Angeles, California","44,606",,MLB
2865,NYY,TOR,1,2017,Yankee Stadium,"Bronx, New York","30,058",,MLB
2866,WSH,ARI,0,2017,Nationals Park,"Washington, D.C.","22,826",,MLB
2867,BOS,BAL,1,2017,Fenway Park,"Boston, Massachusetts","32,932",,MLB
2868,DET,CLE,1,2017,Comerica Park,"Detroit, Michigan","21,799",,MLB
2869,CIN,PIT,0,2017,Great American Ball Park,"Cincinnati, Ohio","13,909",,MLB
2870,MIA,TB,0,2017,Marlins Park,"Miami, Florida","16,011",,MLB
2871,ATL,NYM,1,2017,Truist Park,"Atlanta, Georgia","21,359",,MLB
2872,CHC,PHI,1,2017,Wrigley Field,"Chicago, Illinois","38,660",,MLB
2873,MIN,OAK,1,2017,Target Field,"Minneapolis, Minnesota","18,930",,MLB
2874,HOU,TEX,1,2017,Minute Maid Park,"Houston, Texas","26,208",,MLB
2875,KC,CHW,0,2017,Kauffman Stadium,"Kansas City, Missouri","18,604",,MLB
2876,STL,MIL,1,2017,Busch Stadium,"St. Louis, Missouri","38,616",,MLB
2877,SEA,LAA,0,2017,T-Mobile Park,"Seattle, Washington","15,080",,MLB
2878,LAD,SF,1,2017,Dodger Stadium,"Los Angeles, California","43,471",,MLB
2879,SD,COL,1,2017,Petco Park,"San Diego, California","18,910",,MLB
2880,NYY,TOR,1,2017,Yankee Stadium,"Bronx, New York","35,559",,MLB
2881,WSH,ARI,1,2017,Nationals Park,"Washington, D.C.","23,816",,MLB
2882,BOS,BAL,1,2017,Fenway Park,"Boston, Massachusetts","33,162",,MLB
2883,DET,CLE,0,2017,Comerica Park,"Detroit, Michigan","22,663",,MLB
2884,CIN,PIT,1,2017,Great American Ball Park,"Cincinnati, Ohio","14,297",,MLB
2885,TB,MIA,0,2017,Tropicana Field,"St. Petersburg, Florida","12,285",,MLB
2886,ATL,NYM,0,2017,Truist Park,"Atlanta, Georgia","22,656",,MLB
2887,CHC,PHI,1,2017,Wrigley Field,"Chicago, Illinois","39,335",,MLB
2888,MIN,OAK,1,2017,Target Field,"Minneapolis, Minnesota","18,658",,MLB
2889,HOU,TEX,1,2017,Minute Maid Park,"Houston, Texas","27,439",,MLB
2890,KC,CHW,1,2017,Kauffman Stadium,"Kansas City, Missouri","22,298",,MLB
2891,SEA,LAA,1,2017,T-Mobile Park,"Seattle, Washington","13,799",,MLB
2892,LAD,SF,0,2017,Dodger Stadium,"Los Angeles, California","50,215",,MLB
2893,SD,COL,0,2017,Petco Park,"San Diego, California","16,487",,MLB
2894,CIN,PIT,1,2017,Great American Ball Park,"Cincinnati, Ohio","17,896",,MLB
2895,WSH,ARI,1,2017,Nationals Park,"Washington, D.C.","29,496",,MLB
2896,MIN,OAK,0,2017,Target Field,"Minneapolis, Minnesota","19,247",,MLB
2897,HOU,TEX,0,2017,Minute Maid Park,"Houston, Texas","27,391",,MLB
2898,KC,CHW,0,2017,Kauffman Stadium,"Kansas City, Missouri","36,525",,MLB
2899,CHC,PHI,1,2017,Wrigley Field,"Chicago, Illinois","36,394",,MLB
2900,SD,COL,0,2017,Petco Park,"San Diego, California","16,356",,MLB
2901,BOS,BAL,0,2017,Fenway Park,"Boston, Massachusetts","36,563",,MLB
2902,TB,MIA,1,2017,Tropicana Field,"St. Petersburg, Florida","10,118",,MLB
2903,STL,MIL,0,2017,Busch Stadium,"St. Louis, Missouri","36,250",,MLB
2904,SEA,LAA,1,2017,T-Mobile Park,"Seattle, Washington","15,915",,MLB
2905,CHC,NYY,0,2017,Wrigley Field,"Chicago, Illinois","40,395",,MLB
2906,BAL,CHW,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","20,302",,MLB
2907,PHI,WSH,0,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","20,237",,MLB
2908,PIT,MIL,1,2017,PNC Park,"Pittsburgh, Pennsylvania","21,129",,MLB
2909,NYM,MIA,1,2017,Citi Field,"Queens, New York","25,618",,MLB
2910,TB,TOR,0,2017,Tropicana Field,"St. Petersburg, Florida","12,461",,MLB
2911,ATL,STL,0,2017,Truist Park,"Atlanta, Georgia","34,465",,MLB
2912,MIN,BOS,1,2017,Target Field,"Minneapolis, Minnesota","28,707",,MLB
2913,KC,CLE,1,2017,Kauffman Stadium,"Kansas City, Missouri","25,722",,MLB
2914,CIN,SF,1,2017,Great American Ball Park,"Cincinnati, Ohio","22,724",,MLB
2915,COL,ARI,0,2017,Coors Field,"Denver, Colorado","30,030",,MLB
2916,OAK,DET,0,2017,Oakland Coliseum,"Oakland, California","17,519",,MLB
2917,LAA,HOU,0,2017,Angel Stadium,"Anaheim, California","34,556",,MLB
2918,SEA,TEX,0,2017,T-Mobile Park,"Seattle, Washington","26,938",,MLB
2919,SD,LAD,0,2017,Petco Park,"San Diego, California","34,320",,MLB
2920,MIN,BOS,0,2017,Target Field,"Minneapolis, Minnesota","30,859",,MLB
2921,TB,TOR,1,2017,Tropicana Field,"St. Petersburg, Florida","12,035",,MLB
2922,KC,CLE,0,2017,Kauffman Stadium,"Kansas City, Missouri","23,743",,MLB
2923,BAL,CHW,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","28,718",,MLB
2924,PHI,WSH,0,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","21,298",,MLB
2925,PIT,MIL,1,2017,PNC Park,"Pittsburgh, Pennsylvania","22,902",,MLB
2926,ATL,STL,0,2017,Truist Park,"Atlanta, Georgia","40,706",,MLB
2927,CIN,SF,1,2017,Great American Ball Park,"Cincinnati, Ohio","20,213",,MLB
2928,NYM,MIA,1,2017,Citi Field,"Queens, New York","33,339",,MLB
2929,CHC,NYY,0,2017,Wrigley Field,"Chicago, Illinois","40,735",,MLB
2930,COL,ARI,1,2017,Coors Field,"Denver, Colorado","36,165",,MLB
2931,SD,LAD,0,2017,Petco Park,"San Diego, California","36,337",,MLB
2932,OAK,DET,1,2017,Oakland Coliseum,"Oakland, California","16,651",,MLB
2933,LAA,HOU,1,2017,Angel Stadium,"Anaheim, California","41,097",,MLB
2934,SEA,TEX,1,2017,T-Mobile Park,"Seattle, Washington","36,044",,MLB
2935,NYM,MIA,0,2017,Citi Field,"Queens, New York","39,197",,MLB
2936,TB,TOR,0,2017,Tropicana Field,"St. Petersburg, Florida","15,068",,MLB
2937,BAL,CHW,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","31,806",,MLB
2938,ATL,STL,0,2017,Truist Park,"Atlanta, Georgia","40,200",,MLB
2939,PIT,MIL,0,2017,PNC Park,"Pittsburgh, Pennsylvania","25,108",,MLB
2940,MIN,BOS,0,2017,Target Field,"Minneapolis, Minnesota","31,763",,MLB
2941,KC,CLE,0,2017,Kauffman Stadium,"Kansas City, Missouri","25,754",,MLB
2942,PHI,WSH,1,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","30,464",,MLB
2943,COL,ARI,1,2017,Coors Field,"Denver, Colorado","39,175",,MLB
2944,LAA,HOU,0,2017,Angel Stadium,"Anaheim, California","38,383",,MLB
2945,OAK,DET,1,2017,Oakland Coliseum,"Oakland, California","23,227",,MLB
2946,SEA,TEX,1,2017,T-Mobile Park,"Seattle, Washington","32,518",,MLB
2947,CIN,SF,1,2017,Great American Ball Park,"Cincinnati, Ohio","21,142",,MLB
2948,CHC,NYY,0,2017,Wrigley Field,"Chicago, Illinois","40,584",,MLB
2949,NYM,SF,1,2017,Citi Field,"Queens, New York","28,453",,MLB
2950,BAL,WSH,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","23,525",,MLB
2951,TOR,CLE,1,2017,Rogers Centre,"Toronto, Ontario","40,014",,MLB
2952,CIN,NYY,0,2017,Great American Ball Park,"Cincinnati, Ohio","25,960",,MLB
2953,MIA,STL,0,2017,Marlins Park,"Miami, Florida","16,750",,MLB
2954,TB,KC,0,2017,Tropicana Field,"St. Petersburg, Florida","12,826",,MLB
2955,OAK,LAA,1,2017,Oakland Coliseum,"Oakland, California","10,292",,MLB
2956,LAD,PIT,1,2017,Dodger Stadium,"Los Angeles, California","37,314",,MLB
2957,SD,TEX,1,2017,Petco Park,"San Diego, California","17,756",,MLB
2958,COL,CHC,1,2017,Coors Field,"Denver, Colorado","34,779",,MLB
2959,SD,TEX,0,2017,Petco Park,"San Diego, California","14,224",,MLB
2960,BAL,WSH,1,2017,Oriole Park at Camden Yards,"Baltimore, Maryland","26,348",,MLB
2961,PHI,SEA,0,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","31,715",,MLB
2962,TOR,CLE,0,2017,Rogers Centre,"Toronto, Ontario","32,688",,MLB
2963,CIN,NYY,1,2017,Great American Ball Park,"Cincinnati, Ohio","22,035",,MLB
2964,NYM,SF,1,2017,Citi Field,"Queens, New York","29,030",,MLB
2965,MIA,STL,0,2017,Marlins Park,"Miami, Florida","17,166",,MLB
2966,TB,KC,0,2017,Tropicana Field,"St. Petersburg, Florida","9,921",,MLB
2967,MIL,BOS,1,2017,Miller Park,"Milwaukee, Wisconsin","22,524",,MLB
2968,CHW,MIN,0,2017,Guaranteed Rate Field,"Chicago, Illinois","14,498",,MLB
2969,HOU,ATL,1,2017,Minute Maid Park,"Houston, Texas","28,724",,MLB
2970,COL,CHC,0,2017,Coors Field,"Denver, Colorado","36,563",,MLB
2971,ARI,DET,0,2017,Chase Field,"Phoenix, Arizona","20,445",,MLB
2972,OAK,LAA,0,2017,Oakland Coliseum,"Oakland, California","11,383",,MLB
2973,LAD,PIT,1,2017,Dodger Stadium,"Los Angeles, California","47,720",,MLB
2974,PHI,SEA,0,2017,Citizens Bank Park,"Philadelphia, Pennsylvania","26,697",,MLB
2975,NYM,SF,0,2017,Citi Field,"Queens, New York","31,066",,MLB
2976,HOU,ATL,1,2017,Minute Maid Park,"Houston, Texas","23,676",,MLB
2977,COL,CHC,1,2017,Coors Field,"Denver, Colorado","35,213",,MLB
2978,OAK,LAA,1,2017,Oakland Coliseum,"Oakland, California","11,061",,MLB
2979,MIA,STL,0,2017,Marlins Park,"Miami, Florida","18,614",,MLB
2980,WSH,BAL,1,2017,Nationals Park,"Washington, D.C.","32,984",,MLB
2981,TOR,CLE,1,2017,Rogers Centre,"Toronto, Ontario","35,115",,MLB
2982,TB,KC,1,2017,Tropicana Field,"St. Petersburg, Florida","9,320",,MLB
2983,TEX,SD,1,2017,Globe Life Park in Arlington,"Arlington, Texas","24,350",,MLB
2984,MIL,BOS,1,2017,Miller Park,"Milwaukee, Wisconsin","23,095",,MLB
2985,ARI,DET,1,2017,Chase Field,"Phoenix, Arizona","18,897",,MLB
2986,LAD,PIT,1,2017,Dodger Stadium,"Los Angeles, California","40,719",,MLB
2987,MIL,BOS,0,2017,Miller Park,"Milwaukee, Wisconsin","26,499",,MLB
2988,TB,KC,0,2017,Tropicana Field,"St. Petersburg, Florida","9,340",,MLB
2989,NYY,HOU,0,2017,Yankee Stadium,"Bronx, New York","39,050",,MLB
2990,TOR,SEA,1,2017,Rogers Centre,"Toronto, Ontario","29,120",,MLB
2991,TEX,SD,1,2017,Globe Life Park in Arlington,"Arlington, Texas","22,405",,MLB
2992,CHW,MIN,0,2017,Guaranteed Rate Field,"Chicago, Illinois","16,084",,MLB
2993,COL,LAD,1,2017,Coors Field,"Denver, Colorado","27,265",,MLB
2994,ARI,PIT,1,2017,Chase Field,"Phoenix, Arizona","17,527",,MLB
2995,LAA,DET,0,2017,Angel Stadium,"Anaheim, California","30,207",,MLB
2996,SF,CIN,0,2017,Oracle Park,"San Francisco, California","41,193",,MLB
2997,NYY,HOU,0,2017,Yankee Stadium,"Bronx, New York","41,150",,MLB
2998,TOR,SEA,1,2017,Rogers Centre,"Toronto, Ontario","32,865",,MLB
